id;ten_nguoi_nhan;so_dien_thoai;email;dia_chi;vung_id;so_nguoi_nhan;created_at;updated_at
1;blight;lively in overconfidently;Samson.Blanda28@hotmail.com;on gad blind;26338;18133;2024-12-09T13:03:35;2024-12-09T14:03:00
2;discontinue lid overconfidently;sure-footed supposing;Art_Dibbert76@hotmail.com;naughty scruple sleepily;15179;31218;2024-12-08T17:03:31;2024-12-09T04:46:08
3;with throughout;iterate;Idella_Hessel-Prohaska39@yahoo.com;who;7891;10825;2024-12-09T02:12:38;2024-12-09T09:12:14
4;essay;closely gosh;Caroline_Roob@hotmail.com;unlike;4308;1429;2024-12-08T23:57:39;2024-12-08T22:10:01
5;pish lightly;innocently;Mabelle.Rohan77@hotmail.com;foolishly merrily goat;19343;4625;2024-12-09T11:04:34;2024-12-09T13:37:24
6;notarize;eek recent instance;Chadd19@hotmail.com;but off;22535;28008;2024-12-09T05:49:16;2024-12-08T23:35:35
7;indeed vaguely;grass cop-out;Ron.Kutch@yahoo.com;failing;32222;12277;2024-12-09T10:01:05;2024-12-08T19:40:54
8;plumber;showy once;Zachariah_Grant@gmail.com;yuck ferociously only;13876;2346;2024-12-09T10:50:28;2024-12-08T17:14:41
9;norm;grouchy malfunction greedily;Stefan.Pollich29@gmail.com;mmm boastfully;27458;16801;2024-12-08T16:53:50;2024-12-09T04:47:34
10;bestride until;eek even;Braulio.Labadie@yahoo.com;mainstream;18460;12249;2024-12-08T21:42:29;2024-12-09T04:01:21
